,A1S1,A2S9,A3S17,A4S25,A5S33,A6S41,B1S2,B2S10,B3S18,B4S26,B5S34,B6S42,C1S3,C2S11,C4S27,C5S35,C6S43,D1S4,D2S12,D3S20,D4S28,D5S36,D6S44,E1S5,E2S13,E3S21,E4S29,E5S37,E6S45,F1S6,F2S14,F3S22,F4S30,F5S38,F6S46,G1S7,G2S15,G3S23,G4S31,G5S39,G6S47,H1S8,H2S16,H3S24,H4S32,H5S40,H6S48,A7S49,A8S57,A10S73,A11S81,A12S89,B7S50,B8S58,B9S66,B10S74,B11S82,B12S90,C8S59,C9S67,C10S75,C11S83,C12S91,D7S52,D8S60,D10S76,D11S84,D12S92,E7S53,E9S69,E11S85,E12S93,F7S54,F8S62,F9S70,F10S78,F11S86,F12S94,G7S55,G9S71,G10S79,G11S87,G12S95,H7S56,H8S64,H9S72,H11S88,A10_tophat,A11_tophat,A12_tophat,A1_tophat,A2_tophat,A3_tophat,A4_tophat,A5_tophat,A6_tophat,A7_tophat,A8_tophat,A9_tophat,B10_tophat,B11_tophat,B12_tophat,B1_tophat,B2_tophat,B3_tophat,B4_tophat,B5_tophat,B6_tophat,B7_tophat,B8_tophat,B9_tophat,C10_tophat,C11_tophat,C12_tophat,C1_tophat,C2_tophat,C3_tophat,C4_tophat,C5_tophat,C6_tophat,C7_tophat,C8_tophat,C9_tophat,D10_tophat,D11_tophat,D12_tophat,D1_tophat,D2_tophat,D3_tophat,D4_tophat,D5_tophat,D6_tophat,D7_tophat,D8_tophat,D9_tophat,E10_tophat,E11_tophat,E12_tophat,E1_tophat,E2_tophat,E3_tophat,E4_tophat,E5_tophat,E6_tophat,E7_tophat,E8_tophat,E9_tophat,F10_tophat,F11_tophat,F12_tophat,F1_tophat,F2_tophat,F3_tophat,F4_tophat,F5_tophat,F6_tophat,F7_tophat,F8_tophat,F9_tophat,G10_tophat,G11_tophat,G12_tophat,G1_tophat,G2_tophat,G3_tophat,G4_tophat,G5_tophat,G6_tophat,G7_tophat,G8_tophat,G9_tophat,H10_tophat,H11_tophat,H12_tophat,H1_tophat,H2_tophat,H3_tophat,H4_tophat,H5_tophat,H6_tophat,H7_tophat,H8_tophat,H9_tophat
DPM1,116.1007759,51.13017518,171.5895167,48.11211226,58.28454422,53.79118097,8.982620083,106.7440874,45.59460758,30.78403074,89.70631176,75.29681278,32.33838155,78.60398819,9.910623971,14.424189,26.42112459,81.62830462,157.2696125,136.362154,16.94527842,265.7068949,74.28280428,89.64860762,151.1617424,74.28288443,21.89329579,56.20168929,51.15176047,248.1293754,8.192561329,189.0088064,102.8653613,151.4139071,294.2699644,6.989152387,26.31781648,23.30240638,148.729908,66.73561494,55.73897539,188.7820189,180.9513425,120.5381478,112.9769624,33.94697695,97.509126,32.13755181,132.178773,12.5098838,11.70562059,0,14.95256565,6.034866464,153.3420803,83.61578064,8.639641488,626.7376501,155.7522801,45.4393243,96.53837909,10.84246892,129.6806835,15.28358863,2.964957386,34.04250719,0,68.91781321,16.88692521,18.87137211,118.9519106,184.2657772,0.757207787,294.1423343,9.468498869,0,117.5013956,0,128.5305242,91.04166716,206.1746696,135.6242289,67.94703863,40.96981986,5.072203081,29.83171453,0,6.599912842,6.129283017,0,3.584962501,5.209453366,6.22881869,7.62935662,6.285402219,6.714245518,3.807354922,5.700439718,6.14974712,0,7.971543554,7.832890014,8.169925001,3.459431619,6.554588852,7.383704292,4.754887502,5.285402219,7.022367813,2.321928095,7.339850003,8.335390355,6.965784285,5.857980995,8.129283017,4.523561956,6.129283017,6.62935662,6.022367813,6.339850003,5.614709844,6.169925001,6.930737338,5.129283017,5.129283017,3.807354922,7.569855608,6.266786541,5.857980995,7.87036472,7.366322214,8.321928095,2.584962501,7.312882955,6.022367813,3.321928095,5.357552005,7.781359714,5.584962501,6.62935662,7.375039431,5.672425342,7.686500527,3.584962501,5.754887502,4.807354922,7.813781191,6.686500527,5.209453366,1.584962501,5.169925001,5.247927513,8.361943774,6.95419631,7.21916852,6.409390936,6.845490051,6.882643049,0,4.247927513,7.238404739,7.14974712,6.95419631,8.409390936,2.584962501,6.266786541,5.169925001,0,0,2,6.392317423,6.965784285,5,8.092757141,6.554588852,7.022367813,7.044394119,6.285402219,7.721099189,6.857980995,6.569855608,3.700439718,6.906890596
FUCA2,12.77134988,0,3.035491458,41.58347261,0.981341734,9.132339902,0,14.56725801,0.345680563,31.44433983,0,2.366520275,3.855197257,0,0,0.831125248,13.32092622,0,0,22.59459691,2.929173083,17.97591066,0,0.461211999,1.555352864,0,20.37802816,22.55282867,1.435410765,0,0,0,6.566987211,1.182538441,15.66124349,14.19576175,1.033935634,13.66666885,4.790601141,0,7.627771349,2.029415194,0,56.76559195,21.31171366,0.586809899,0,0,0.668085331,8.109253354,0,0,16.66458609,25.10179262,0,11.75466496,0,0,0,0,0,0,22.92616713,0,0.256262339,0,0,136.5052223,0,1.631059516,0,0,0,0,0,53.64992284,0,0,0,0,0,0,62.74502555,7.534119886,0,0.758342904,0,6.491853096,3.321928095,4.169925001,2,5.882643049,5.044394119,3.700439718,1,4.169925001,0,0,7.888743249,1,2.584962501,4.523561956,4.392317423,0,0,5.247927513,0,0,0,0,4.700439718,0,4.807354922,4.906890596,6.247927513,0,6.882643049,0,0,5.700439718,7.285402219,3.459431619,0,3.807354922,4.321928095,0,0,0,0,0,0,0,3.807354922,3.169925001,2.807354922,5.321928095,0,0,1.584962501,1.584962501,0,0,0,5.614709844,0,0,0,0,4.321928095,0,0,2,0,0,0,0,5.727920455,2.321928095,3.169925001,4.906890596,7.17990909,0,4.321928095,4.906890596,2,0,0,0,0,0,0,6.426264755,4.64385619,5.882643049,6.672425342,6.14974712,7.022367813,5.906890596,7.159871337,6.129283017,6.882643049,0,0
GCLC,7.677070739,0,0,0,0,7.67174234,0.18301552,0,26.80954344,10.47719521,34.88172131,0.195252603,33.87527391,0,0,0,5.203708152,26.97512428,0,4.131457883,0,0.121071359,0,0.608845616,0,0.145127204,12.72994687,0,6.063630982,20.36743309,0,0,0,0,0,0,0,3.323408307,0.131751438,6.821153159,0,0,7.05844208,8.816025374,2.55759794,0,19.62552858,22.37818655,2.866301579,0,0,0.208944228,0,0,0,0,0,0,6.913390778,0,0,0,0,81.54276307,0,0,0,0,0,0,0,0.227533647,0,0,0,0,5.494473901,1.114365822,0,0,0.33414546,21.58910388,0,0.124322326,112.3684072,0,0,0,4.169925001,3.906890596,1,0,0,7.918863237,7.21916852,5.882643049,8.810571635,0,3.700439718,0,0,4.906890596,6.426264755,3,0,3.459431619,3.321928095,3.700439718,0,0,3,5.044394119,3,5.392317423,5,0,6.523561956,0,0,0,0,7.06608919,6.475733431,4,4.321928095,5.857980995,7.930737338,0,2.321928095,0,0,0,5.459431619,0,0,3.169925001,0,7.707359132,6.209453366,8.330916878,8.794415866,0,0,2,0,0,0,0,2.584962501,0,0,0,0,0,7.366322214,5.129283017,6.044394119,1,2.807354922,8.487840034,4.700439718,1.584962501,0,0,4.95419631,5.247927513,9.290018847,0,0,1,1,0,4.459431619,0,0,7.807354922,5.491853096,0,0,1.584962501,0,3.321928095,4.087462841
NFYA,0.668560562,68.66941028,10.16981237,0,51.78270725,0,0,1.77933839,0,16.8404899,5.62865658,0,0,9.71513923,0,21.92809798,0.398474308,0,0,0,0,26.34831723,0,0,0.284971172,11.60210312,0.266689623,0,0.420792681,0.282684312,0,0,7.2192057,0,0.459111552,0.885427125,0,0,0,0,0.294222616,0,0.489828747,0,0,0,0,1.197463227,0,0,0,0,0,0.23891642,0,0,0,0,0,0,0,6.867940164,0,0.220024468,0,0,0,0,75.94640933,0,0,0.252639367,0,0,0,0,0,0,0.232614376,0,0,0.415685776,0,0,0,0,0,6.62935662,3.584962501,0,4.459431619,0,0,0,0,0,1,0,0,0,7.22881869,7.768184325,5.754887502,1,6.459431619,0,0,0,0,0,0,0,0,6.266786541,4.64385619,0,0,1,1,3.700439718,1,0,0,5.129283017,1.584962501,1,0,0,7.584962501,0,4.169925001,0,0,4.169925001,0,0,0,7.523561956,1,4.087462841,0,0,0,6.686500527,0,0,0,0,4.584962501,0,0,2,0,1,2.584962501,0,2.321928095,0,0,7.209453366,0,0,0,1.584962501,1,1,8.982993575,0,0,0,8.252665432,0,0,1,0,2.584962501,0,3.906890596,0,0,0,0,0
ENPP4,0,0,0,0,0,0,0.666033261,0,0,0,0,9.237366661,0,3.980261837,24.94788097,0,0,0,6.16456614,0,0,0,0,0,0,3.697046094,25.13023603,0,0,0,0,0,0,5.444355113,0,0.362756695,0,0,0,0,1.928673211,0,0,0,0,0,11.5882671,0,0,0,0,0,0,0.195766605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.250354393,0,0,0,0,0,0,0,0,1.584962501,0,4.95419631,0,8.139551352,0,7.22881869,0,0,0,0,5.930737338,4.64385619,0,0,0,3.807354922,2.807354922,6.06608919,0,0,1,0,0,6.022367813,0,6.554588852,0,0,6.554588852,0,0,0,0,1,5.426264755,0,0,0,8.224001674,0,7.622051819,4.459431619,0,0,0,1.584962501,0,0,0,0,0,0,7.22881869,0,0,6.375039431,0,0,0,0,6.584962501,0,0,0,0,0,0,0,0,1,4.700439718,0,0,0,0,0,0,0,0,0,0,0,0,5.129283017,0,7.266786541,0,0,0,2.584962501,2.321928095,0,6.14974712,0
CYP51A1,12.50802308,12.46378048,4.162065607,1.943744795,0.224258506,7.399163866,1.520726901,7.323676451,4.976730996,2.487369467,2.256554831,3.650418518,14.20610381,13.06395893,9.102253734,1.139584102,10.62338962,1.47463037,6.066941987,4.605167914,4.518324975,0.754511714,9.872610328,13.2800527,0,6.029511672,10.72735117,3.092295065,10.82477293,9.255239811,11.83261044,3.499840901,1.385264551,3.513073821,12.88419826,0.621200805,16.30313972,12.32818067,35.85336928,5.931508633,2.752288631,1.391300107,5.498489996,4.578425548,0.265647415,3.218380063,1.619940196,0,1.374051788,3.706291052,0.301566328,4.557461343,0,0,2.83940677,8.058610511,3.544142045,0,9.652691889,5.296628545,1.191722136,3.671185913,0,18.72967738,0.175685006,0.234552101,0,0,0,0,1.058311301,9.216871994,21.31203507,5.048717951,0.200373065,0,17.26333962,0,5.657542478,0.299698064,1.851005089,0.388850882,0.847604327,0,0,15.59684633,0.702473544,4.169925001,2.584962501,2.584962501,3.584962501,2.584962501,3.906890596,2,2.584962501,3.169925001,0,1,0,0,4.906890596,2,1,1.584962501,0,3.459431619,2.321928095,1.584962501,0,0,1,2,2.584962501,0,4.584962501,4.321928095,1.584962501,2.321928095,4.169925001,3.807354922,3.584962501,3.807354922,1,4.169925001,0,3.459431619,0,3.700439718,0,3.700439718,4.857980995,0,4.95419631,1,0,1.584962501,0,3.584962501,3.584962501,2,0,0,2.584962501,3.169925001,3.807354922,0,0,1,4.459431619,2.584962501,3,1.584962501,3.169925001,0,1,0,3.169925001,3.459431619,4.584962501,3,0,3.700439718,3.906890596,4.700439718,0,4.807354922,2,0,5.700439718,6.108524457,1,0,2,3.169925001,0,0,0,4.321928095,1.584962501,2,1.584962501,0,0
KRIT1,39.63101789,8.814216432,0.195222613,0,6.037845797,0.186878153,0.499310235,6.776686549,0,2.177851539,0.329293086,11.18661458,0,0,0.192813074,4.302921887,1.59103906,33.31124403,1.27487926,0,3.461572954,6.110766535,0,9.135922779,0.175052408,2.969563655,0.327644795,1.093414555,20.93728456,0,0.597704396,20.17354027,3.638663945,0.354914019,3.948329743,0,0.930942046,7.933673094,0,0,0,22.29255672,1.203570183,5.111099237,15.17658582,0.264177957,0.531885587,23.53852924,11.72993727,2.974670951,0.69310675,0,0,2.641713185,0.133183006,0,6.206247449,94.96091116,0,2.173845976,0,36.86467727,0,0,0,0,0,0,0,218.4519496,28.77153353,0,0,0,4.736865765,33.11276786,43.47170362,20.01502682,0,0.590410984,8.052722454,0,0,19.33332398,65.45818153,62.98848234,0,0,4.247927513,7.754887502,1.584962501,2,7.266786541,7.366322214,6.409390936,4.169925001,1,5.321928095,6.087462841,0,6.62935662,3.807354922,0,5.357552005,0,0,3.584962501,0,0,0,0,6.459431619,4.64385619,0,4.906890596,4.087462841,6.459431619,4.700439718,5.285402219,4.906890596,7.087462841,1.584962501,2.321928095,6.129283017,5.426264755,3.459431619,6.357552005,8.154818109,7.54689446,1.584962501,3.459431619,2,2.807354922,9.030667136,4.700439718,0,5.754887502,2,4.523561956,2,0,3.169925001,0,1,2.807354922,1.584962501,0,8.607330314,6.22881869,5.700439718,0,5.832890014,2,3.321928095,8.159871337,9.154818109,3.584962501,0,5.727920455,6.247927513,5,3,6.357552005,6.794415866,5.727920455,0,0,0,0,6.209453366,2,3.584962501,3.169925001,7.199672345,6.475733431,5.169925001,5.247927513,0,4.169925001,5.247927513,6.129283017,0,3
LAP3,16.15567324,0,0,0,1.44828928,1.837873809,0,42.99746539,23.72263689,0.223107512,0,30.55999862,0,3.362519416,0.316040241,1.22659594,13.64119156,10.15823578,9.664662628,17.12345995,51.33501586,0,8.855353253,1.361336974,23.81508227,0,0,14.84980359,73.93271814,6.546401063,0,1.255689285,26.46587268,1.163480357,0.92453058,38.33490072,11.82579247,0,5.89174328,14.54225177,25.77320153,0.59901259,46.8533814,25.62563529,18.29956258,0.433014543,54.05250387,32.85502159,86.76601578,4.432534785,20.28700829,0,0,1.202787949,25.32285732,68.10631826,0.211930643,14.64946753,0,8.076483923,0,0.164645656,14.09792708,0.221535865,0,0,0,0,63.54391572,0,29.95879375,0.763124408,117.3526029,0.236269909,68.58380915,8.939443828,7.064028074,0,0,35.16135288,1.494252589,9.765961645,5.473933992,0,0,0.279795473,0,7,5.700439718,0,4.857980995,0,4,1,3.807354922,2.584962501,1,5.832890014,5.906890596,0,6.845490051,7.741466986,0,1,4.906890596,5.426264755,7.707359132,6.339850003,1,0,0,7.199672345,3.700439718,7.864186145,5.285402219,7.257387843,0,4,7.554588852,4.906890596,6,7.714245518,5.357552005,2.807354922,6.22881869,4.247927513,2,5.523561956,6.62935662,0,6.741466986,0,6.459431619,0,7.011227255,5.832890014,5.672425342,6.06608919,3,2.321928095,5.285402219,3.700439718,4.169925001,5.700439718,4.807354922,2.807354922,6.357552005,1.584962501,7.826548487,8.689997971,3.807354922,0,6.965784285,3.807354922,6.754887502,7.888743249,5.614709844,2.584962501,1,6.285402219,4.247927513,0,7.62935662,2.584962501,5.781359714,0,8.266786541,0,0,6.357552005,0,7.62935662,3,7.247927513,6.658211483,7.257387843,6.781359714,2.807354922,7.6794801,6.189824559,2,6.169925001,1
HS3ST1,0.780028258,0,0.444952642,7.434597714,24.16653163,18.1731795,25.2263564,0.332160598,0.945859234,9.824134674,13.88474823,2.023540022,0.164823138,2.833730989,17.72491917,6.111762865,0.55789331,3.531311757,0.242142754,16.18699142,13.1493991,1.129272859,0.307839016,0.946484285,0.398980579,1.504055263,21.53187225,4.153529205,0.098190112,17.15041499,14.68247746,0.194007019,4.837738728,2.426766984,20.14075038,0,5.304522826,3.444281717,1.775062626,10.8504624,1.098488747,0.416469995,0,24.21216755,0,15.25360808,0.808184712,0,0.457007673,14.38158329,29.11222955,0,0.814250533,0,0.303551569,0.148904578,3.438098444,0.121252394,0,0,24.97100064,0,0.435632737,35.01506464,0,0,0,1.21269084,20.21778125,0.092977982,0,15.44549722,1.902663063,0,1.699416818,0,0.213536612,0,0,0.747593629,3.347551544,0,15.43468173,0,0,1.815621127,4.205550654,3.321928095,3.321928095,0,4.087462841,6.247927513,5.672425342,0,3.321928095,3.906890596,0,4.95419631,3,0,4.700439718,3.700439718,0,4.169925001,1,5.523561956,3.169925001,3.459431619,0,5.700439718,3,2,2.321928095,4.247927513,5.392317423,6,6.554588852,2.807354922,0,0,0,6.087462841,4.321928095,4.321928095,2.321928095,2,4.754887502,6.357552005,0,6.285402219,2.321928095,0,5.614709844,4.459431619,3.169925001,4,5.614709844,1,1.584962501,4.95419631,0,5.727920455,0,0,4.087462841,4.95419631,5.781359714,0,5.392317423,0,0,6.714245518,0,4.169925001,1.584962501,1,3,6.108524457,5.392317423,0,5.169925001,5.95419631,0,5.906890596,2.321928095,9.285402219,4.807354922,0,4.459431619,5.044394119,5.044394119,4.584962501,2.807354922,0,4.392317423,0,2.584962501,1.584962501,4,4,3,6.209453366,3
SNX11,0,0,0,0,0,0,0,0,0,0,0,0.916485182,0,0,0,0,30.74230394,0,0,6.858293858,0,0,44.15091023,1.071684785,0,0,6.482569484,0,0,0,0,0,0,0,0,0,0,0,0,26.43299128,0,0,92.14621436,0,0,2.272545822,0,0,0,0,0,0,0,0.504997492,0,0,0,0,0,0,0,0,0,0,0,21.46444427,0,0,0,0,40.77210323,0,0,189.7186435,0,0,0.644755028,0,5.40844551,0,0,0,0,1.167099104,0,0,0.793643156,3,2.584962501,5.491853096,0,0,1,0,6.129283017,0,0,0,0,4.247927513,0,6.266786541,0,0,1.584962501,0,0,3,0,0,0,0,0,2.584962501,0,0,0,7.383704292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.087462841,0,0,0,0,0,7.876516947,1,0,0,0,1,3,1,0,0,0,1,0,0,0,7.727920455,2.807354922,5.087462841,0,0,0,0,0,0,0,0,0,0,0,0,0,4.754887502,0,0,1,0,0,0,0,0
M6PR,29.00689037,24.61259673,7.37535216,39.13632623,0,0,0,74.32772736,6.134937653,12.74406414,142.5240111,52.0620363,53.45296832,28.79511837,8.867869943,2.458387944,33.17005854,23.22255871,47.64038486,16.25658524,60.92022752,16.2768373,34.83088029,20.46330599,104.0881916,7.479180602,0,6.157761396,0,0,7.854187072,10.06679151,86.84998071,3.497834117,12.04435457,17.42125339,59.25420242,13.56354466,36.60617939,0,1.781226987,0,0,35.06295747,40.97468951,22.56444862,5.824407696,1.510303269,84.23261237,17.32350072,0,0,49.5437218,27.72271775,27.56412196,23.82331325,3.185692942,7.078096442,12.18933083,51.89419847,0,22.43923696,13.49988599,44.17901417,9.095989997,0,0,0,0,0,10.8445386,0,6.533398083,0,0,0,59.55585295,0,10.3271668,0,0,0,0,80.78383749,0,5.888150166,0,8.30833903,5.491853096,8.471675214,5.554588852,7.108524457,8.005624549,4.392317423,0,4.321928095,0,0,1,1,3.584962501,6.62935662,7.21916852,5.523561956,1.584962501,5.285402219,4.95419631,0,5,8.108524457,7.95419631,5.781359714,7.129283017,7.139551352,7.888743249,6.409390936,1,7.912889336,1.584962501,6.285402219,1,5.584962501,7.8008999,5.459431619,6.321928095,2,6.857980995,0,7.820178962,1,5.554588852,5.209453366,8.499845887,1,5.832890014,6.906890596,0,5.882643049,0,4.807354922,2.807354922,6.087462841,0,4.906890596,9.682994584,7.839203788,7.74819285,2.807354922,6.906890596,6.14974712,6.832890014,4.087462841,3.700439718,0,5.392317423,0,5.857980995,0,6.129283017,8.184875343,5.491853096,8.647458426,8.290018847,3.321928095,6.375039431,9.348728154,8.438791853,0,6.658211483,5.321928095,4.857980995,8.413627929,5.321928095,7.977279923,7.50779464,0,0,7.199672345,4.087462841,6.442943496,1,7.622051819,3.700439718
NDUFAF7,57.92232182,0,0.331734071,0,0,0,0,0,0,0,0,0,0,1.901417194,0,0,0,0.658191633,0,0,0,0.280642812,0,0,0,34.64962677,0,0.26542802,2.63540001,0,0.338551819,0.867850624,38.25754657,42.51794129,0.479231477,1.617402041,7.514086867,0,2.443193461,0.735413925,59.58060348,25.77140514,0,0,0.296424971,0,0,0,24.78750285,0,0,0.242165845,0,11.72117021,0.452625237,14.32102323,0.659126937,23.59430103,0.262708291,0,0,0,0,0,12.15445746,0,0,0,0,8.318358858,84.20001239,47.9953904,0,0,0,0,0,0,0,0,0,0,0,0,0,68.74531092,0,0,4.523561956,6.392317423,7.761551232,5.906890596,0,0,1,6.727920455,1.584962501,7.383704292,0,0,5.459431619,5.209453366,4.321928095,4.64385619,2.807354922,6.906890596,0,4.321928095,0,0,3.807354922,2.807354922,7.011227255,6.357552005,0,4.169925001,0,7.21916852,4,5.044394119,6.95419631,1.584962501,3,0,4.906890596,0,0,5.491853096,5.321928095,0,0,0,1,0,2.807354922,0,3.584962501,5.857980995,0,4.321928095,0,7.651051691,0,0,6.845490051,7.159871337,0,1,0,1,7.011227255,4.392317423,7.339850003,0,0,0,5.247927513,0,0,5.614709844,2,5.832890014,0,2,2,5.930737338,1,0,0,7.238404739,0,0,4.459431619,4.523561956,6.554588852,8.388017285,0,1,2.321928095,5.523561956,0,0,5.169925001
MTMR7,0,0,6.809057437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905246038,0,0.215778554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.779893158,0,0,0,0,0,0,0,0,0,0,16.52112778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.169925001,0,0,0,0,0,0,0,0,2.807354922,0,0,0,0,1.584962501,6.95419631,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2.807354922,0,0,0,0,0,0,0,0,0,5.087462841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.857980995,0,0,0,0,1.584962501,0,0,0,0,0,0,0,0,0,0,1.584962501,0,0,0,0,2.321928095,1,1,3,0,0
POLDIP2,24.62594444,0,1.142066093,0.622254934,0,19.1318822,0,62.02382694,0,0,0,28.0467799,2.538322946,16.36509707,0,0,0,0.566491667,0.466133365,2.01035683,0,0.483086708,0.395067327,44.33571578,132.1048965,50.37925643,0,3.655172842,1.512155499,0,0,8.216348165,12.30622394,0,0.824928865,3.977325286,0,0,13.14253201,89.24669259,0.52865742,0,0,0,0,4.6363792,1.037189433,136.0883647,58.0638914,81.07766509,14.77077848,107.9652063,0,10.73208955,98.55994562,126.6977877,61.64623748,59.75427722,19.44524408,1.695620359,0.57226261,20.86093843,0,0,1.687271836,0,0,2.334472748,0,1.073915424,0,0,171.5002451,0,0,0,5.754917404,0,0.835920214,0,10.22176325,0,0,4.464525497,288.6444658,68.90408744,0,4.087462841,4.087462841,3.169925001,1,1,1.584962501,0,6.442943496,0,2.807354922,6.044394119,5.807354922,0,1.584962501,6.686500527,0,2.807354922,1,0,0,3.906890596,0,8.330916878,1,4,2.584962501,4.087462841,7.499845887,8.951284715,3.906890596,3,6.129283017,7.266786541,0,5.95419631,1,3.700439718,4.857980995,1,7.400879436,5.554588852,5.781359714,8.475733431,2,1,5.882643049,0,0,5.832890014,0,3.807354922,0,5.754887502,0,7.294620749,0,0,0,0,5.169925001,0,0,7.033423002,6.169925001,2,4.700439718,5.977279923,5.95419631,8.383704292,4.95419631,7.442943496,0,7.442943496,0,5.247927513,0,0,1.584962501,0,0,0,0,2.321928095,0,1,4.459431619,2.584962501,6.339850003,5.285402219,6.266786541,5.584962501,3.459431619,6.044394119,5.882643049,7.011227255,1.584962501
AK2,7.785572771,0,10.57413211,7.835392411,10.36945958,6.275738414,4.056732186,19.18162204,2.697358654,8.552259854,0,9.521556105,1.410105545,11.11152086,3.133086206,14.5919297,27.44431788,21.18987452,26.24020738,9.083358723,19.82082737,26.30000968,15.50923816,22.26791445,9.671255805,0.643379532,9.938158314,9.64508973,8.260416752,12.97963752,5.611554034,16.87444389,18.47684579,4.998171031,10.99847537,7.806933253,1.260599889,13.680987,0.778775915,3.281818349,23.88623212,0.989725273,1.303815159,5.211106879,6.991995815,7.440712629,3.841241115,19.92112955,9.285826148,0.732370533,0.321786596,0,0.165860207,1.907827088,8.079443466,3.609434496,4.48210921,0.691564202,0,3.453860538,1.271628073,0.761705371,18.8418195,0.439242142,6.248827597,6.340401584,0,4.668700921,5.516484028,1.856052884,10.1634474,27.23502668,4.308825661,1.561518431,23.37636776,13.08226248,5.683571301,0,0.619167723,31.97930629,22.0554674,12.07888845,6.632537156,1.653441344,2.850660203,5.91737868,0,4.857980995,5.285402219,6.22881869,5.554588852,2.807354922,4.523561956,5.754887502,5.426264755,4.459431619,4.807354922,0,0,1,3.700439718,7.73470962,5.169925001,4.857980995,4.807354922,4.169925001,6.554588852,3.321928095,5.727920455,0,7.118941073,5.392317423,5.554588852,7.330916878,5.285402219,5.554588852,6.209453366,3,6.129283017,4.584962501,2.584962501,4.087462841,3,4,5.357552005,5.491853096,6.357552005,3,4.906890596,4.906890596,3.906890596,0,4.857980995,0,4.754887502,5.614709844,4.857980995,6.539158811,3.906890596,7.06608919,7.348728154,4.321928095,4.906890596,5.930737338,2.584962501,4.169925001,0,3.459431619,8.169925001,5.832890014,5.882643049,3,6.285402219,4.700439718,4.321928095,4.807354922,4.459431619,8.985841937,4.700439718,7.276124405,5.392317423,4.087462841,4.754887502,3.169925001,4.95419631,5.64385619,2.584962501,0,5.169925001,7.129283017,4.321928095,3.169925001,4.584962501,6.882643049,4.857980995,7.285402219,5.087462841,4.169925001,6.189824559,6.392317423,5.392317423,4.321928095,2
VPS50,1.617019865,15.53458697,1.152998712,0,0,10.17871177,0,0.143453747,0,0,26.36323096,0,0.569471437,27.04672437,0,0,0,3.050210684,0.104576779,0,0,0,5.58388846,0,8.385850964,17.14871183,0,8.405370359,0,0,0,0,0,0,0,4.640016506,0,0,0,13.63230586,0,6.115421799,0,0,0.114475097,0,0,0,0,45.87361715,0,106.800978,0.100474022,3.563453319,0,0,0,0,0,0,0,0,0,0,0.075707712,82.3763155,0,0,0.107798385,65.37298272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.022367813,4.392317423,4.700439718,4.321928095,7.400879436,4.906890596,0,0,0,0,7.924812504,0,0,6.727920455,0,0,0,4.64385619,0,0,0,5.392317423,0,0,8.055282436,6.409390936,2.321928095,0,4,7.794415866,1,0,0,0,0,0,8.276124405,0,5.392317423,5.169925001,9.184875343,0,0,6.686500527,0,0,0,1,2.584962501,6.977279923,8.566054038,2,0,5.285402219,0,9.199672345,4.392317423,1,0,0,0,0,0,3,7.330916878,2,0,5.857980995,0,0,0,7.607330314,3,5.754887502,0,8.599912842,0,0,0,3.807354922,0,4.321928095,0,5.129283017,0,0,0,2,0,0,2,0,0,2.584962501
